DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
04/09/2021 10:34:29 AM,Sep 2020,Arrival,International,Freight,86595
04/09/2021 10:34:29 AM,Feb 2021,Arrival,International,Freight,78931
04/09/2021 10:34:29 AM,Aug 2020,Arrival,International,Freight,81369
04/09/2021 10:34:29 AM,Jan 2021,Arrival,International,Freight,82958
04/09/2021 10:34:29 AM,Nov 2020,Arrival,International,Freight,96096
05/27/2021 03:16:34 PM,Apr 2021,Arrival,International,Mail,921
05/27/2021 03:16:34 PM,Apr 2021,Arrival,Domestic,Mail,3197
05/03/2021 03:08:02 PM,Mar 2021,Arrival,International,Freight,100358
05/27/2021 03:16:34 PM,Apr 2021,Departure,Domestic,Freight,40285
04/10/2021 06:01:03 AM,Mar 2021,Departure,Domestic,Freight,43444
06/09/2021 09:21:54 AM,Apr 2021,Arrival,International,Freight,97048
05/03/2021 03:08:02 PM,Mar 2021,Departure,International,Freight,66254
06/09/2021 09:21:54 AM,Apr 2021,Departure,International,Freight,60458
05/03/2021 03:08:02 PM,Mar 2021,Arrival,International,Mail,913
05/27/2021 03:16:34 PM,Apr 2021,Arrival,Domestic,Freight,43368
05/27/2021 03:16:34 PM,Apr 2021,Departure,International,Mail,412
05/27/2021 03:16:34 PM,Apr 2021,Departure,Domestic,Mail,5468
05/03/2021 03:08:02 PM,Mar 2021,Departure,International,Mail,403
05/03/2021 03:08:02 PM,Mar 2021,Departure,Domestic,Mail,5677
04/10/2021 06:01:03 AM,Mar 2021,Arrival,Domestic,Freight,44001
05/03/2021 03:08:02 PM,Mar 2021,Arrival,Domestic,Mail,3578
06/01/2022 12:00:23 AM,Apr 2022,Departure,Domestic,Freight,36156
12/01/2021 12:00:21 AM,Oct 2021,Arrival,Domestic,Mail,5637
12/01/2021 12:00:21 AM,Oct 2021,Departure,Domestic,Mail,4929
06/29/2021 10:06:21 AM,May 2021,Arrival,Domestic,Mail,3664
06/29/2021 10:06:21 AM,May 2021,Departure,Domestic,Freight,40988
06/29/2021 10:06:21 AM,May 2021,Arrival,Domestic,Freight,45657
11/10/2021 06:01:08 AM,Sep 2021,Departure,International,Freight,56453
06/29/2021 10:06:21 AM,May 2021,Departure,Domestic,Mail,5231
08/01/2021 12:00:23 AM,May 2021,Departure,International,Mail,445
08/01/2021 12:00:23 AM,Jun 2021,Arrival,International,Freight,93511
08/01/2021 12:00:23 AM,May 2021,Arrival,International,Freight,99065
08/01/2021 12:00:23 AM,May 2021,Departure,International,Freight,64024
08/01/2021 12:00:23 AM,Jun 2021,Arrival,Domestic,Freight,45132
08/01/2021 12:00:23 AM,Jun 2021,Departure,International,Freight,60486
08/01/2021 12:00:23 AM,Jun 2021,Arrival,International,Mail,863
08/01/2021 12:00:23 AM,Jun 2021,Departure,International,Mail,397
08/01/2021 12:00:23 AM,Jun 2021,Departure,Domestic,Mail,4563
08/01/2021 12:00:23 AM,Jun 2021,Departure,Domestic,Freight,39269
08/01/2021 12:00:23 AM,Jun 2021,Arrival,Domestic,Mail,2604
08/01/2021 12:00:23 AM,May 2021,Arrival,International,Mail,892
08/30/2021 11:09:52 AM,Jul 2021,Arrival,International,Mail,811
08/30/2021 11:09:52 AM,Jul 2021,Departure,International,Mail,737
08/30/2021 11:09:52 AM,Jul 2021,Departure,Domestic,Freight,39746
08/30/2021 11:09:52 AM,Jul 2021,Arrival,Domestic,Mail,3359
08/30/2021 11:09:52 AM,Jul 2021,Departure,International,Freight,61597
08/30/2021 11:09:52 AM,Jul 2021,Arrival,Domestic,Freight,46463
08/30/2021 11:09:52 AM,Jul 2021,Departure,Domestic,Mail,6811
08/30/2021 11:09:52 AM,Jul 2021,Arrival,International,Freight,92346
09/29/2021 09:09:13 AM,Aug 2021,Arrival,Domestic,Mail,2865
09/29/2021 09:09:13 AM,Aug 2021,Departure,International,Freight,59817
09/29/2021 09:09:13 AM,Aug 2021,Departure,Domestic,Freight,40216
09/29/2021 09:09:13 AM,Aug 2021,Arrival,International,Mail,774
09/29/2021 09:09:13 AM,Aug 2021,Departure,Domestic,Mail,5289
09/29/2021 09:09:13 AM,Aug 2021,Arrival,Domestic,Freight,44227
09/29/2021 09:09:13 AM,Aug 2021,Arrival,International,Freight,92355
09/29/2021 09:09:13 AM,Aug 2021,Departure,International,Mail,361
11/01/2021 12:00:16 AM,Sep 2021,Arrival,International,Freight,95079
11/01/2021 12:00:16 AM,Sep 2021,Arrival,International,Mail,643
03/01/2022 12:00:19 AM,Jan 2022,Arrival,Domestic,Mail,3216
11/01/2021 12:00:16 AM,Sep 2021,Departure,Domestic,Mail,5670
06/01/2022 12:00:23 AM,Apr 2022,Departure,Domestic,Mail,5713
09/01/2023 12:00:48 AM,Jul 2023,Arrival,Domestic,Freight,31310
11/01/2021 12:00:16 AM,Sep 2021,Arrival,Domestic,Mail,3302
11/01/2021 12:00:16 AM,Sep 2021,Departure,International,Mail,332
12/01/2021 12:00:21 AM,Oct 2021,Arrival,International,Mail,695
12/01/2021 12:00:21 AM,Oct 2021,Departure,International,Mail,1182
06/01/2022 12:00:23 AM,Apr 2022,Arrival,Domestic,Freight,39375
06/01/2022 12:00:23 AM,Apr 2022,Arrival,Domestic,Mail,3424
06/01/2022 12:00:23 AM,Apr 2022,Arrival,International,Mail,693
06/01/2022 12:00:23 AM,Apr 2022,Departure,International,Mail,356
01/01/2022 12:00:11 AM,Nov 2021,Departure,Domestic,Mail,5814
09/01/2023 12:00:48 AM,Jul 2023,Departure,Domestic,Mail,2667
01/01/2022 12:00:11 AM,Nov 2021,Departure,International,Mail,517
01/01/2022 12:00:11 AM,Nov 2021,Arrival,International,Mail,720
01/01/2022 12:00:11 AM,Nov 2021,Arrival,Domestic,Mail,3340
03/01/2022 12:00:19 AM,Jan 2022,Departure,Domestic,Mail,5151
09/01/2023 12:00:48 AM,Jul 2023,Departure,Domestic,Freight,31185
03/01/2022 12:00:19 AM,Jan 2022,Departure,International,Mail,611
09/01/2023 12:00:48 AM,Jul 2023,Arrival,Domestic,Mail,1350
09/01/2023 12:00:48 AM,Jul 2023,Arrival,International,Mail,763
03/01/2022 12:00:19 AM,Jan 2022,Arrival,International,Mail,783
09/01/2023 12:00:48 AM,Jul 2023,Departure,International,Mail,450
08/30/2022 11:02:17 AM,Jun 2022,Departure,International,Mail,544
09/01/2023 12:00:48 AM,Jul 2023,Arrival,International,Freight,80071
09/01/2023 12:00:48 AM,Jul 2023,Departure,International,Freight,50406
08/30/2022 11:02:17 AM,Jul 2022,Arrival,Domestic,Mail,3374
08/30/2022 11:02:17 AM,Jul 2022,Arrival,International,Mail,719
08/30/2022 11:02:17 AM,Jul 2022,Departure,Domestic,Freight,32282
08/30/2022 11:02:17 AM,Jul 2022,Arrival,Domestic,Freight,36637
11/30/2023 04:52:29 AM,Sep 2023,Departure,Domestic,Freight,32624
08/30/2022 11:02:17 AM,Jul 2022,Departure,International,Mail,431
11/18/2023 05:28:20 AM,Oct 2023,Arrival,Domestic,Freight,32967
11/18/2023 05:28:20 AM,Oct 2023,Departure,International,Mail,361
08/30/2022 11:02:17 AM,Jun 2022,Arrival,International,Mail,640
11/18/2023 05:28:20 AM,Oct 2023,Departure,Domestic,Freight,32827
11/18/2023 05:28:20 AM,Oct 2023,Arrival,International,Freight,87673
08/30/2022 11:02:17 AM,Jul 2022,Departure,Domestic,Mail,5309
01/31/2022 03:01:29 PM,Dec 2021,Departure,Domestic,Mail,7834
01/31/2022 03:01:29 PM,Dec 2021,Departure,International,Mail,614
01/31/2022 03:01:29 PM,Nov 2021,Arrival,International,Freight,105462
01/31/2022 03:01:29 PM,Dec 2021,Departure,International,Freight,56572
01/31/2022 03:01:29 PM,Dec 2021,Arrival,International,Mail,891
01/31/2022 03:01:29 PM,Dec 2021,Arrival,Domestic,Mail,4564
01/10/2022 06:01:08 AM,Oct 2021,Departure,International,Freight,61305
01/31/2022 03:01:29 PM,Dec 2021,Arrival,International,Freight,102227
01/10/2022 06:01:08 AM,Oct 2021,Arrival,International,Freight,104723
01/31/2022 03:01:29 PM,Nov 2021,Departure,International,Freight,54102
04/01/2022 12:00:18 AM,Feb 2022,Arrival,International,Mail,688
04/01/2022 12:00:18 AM,Feb 2022,Departure,International,Mail,604
07/01/2022 12:00:22 AM,May 2022,Arrival,International,Mail,697
11/18/2023 05:28:20 AM,Oct 2023,Departure,Domestic,Mail,3348
