"Report_Period","Flight_Type","average_flight_ops_count"
"2006, October 01, Sunday 12:00:00 AM","Charter","127.6666666666666667"
"2010, January 01, Friday 12:00:00 AM","Charter","118.0000000000000000"
"2009, October 01, Thursday 12:00:00 AM","Charter","111.2500000000000000"
"2006, January 01, Sunday 12:00:00 AM","Charter","105.7500000000000000"
"2006, February 01, Wednesday 12:00:00 AM","Charter","61.0000000000000000"
"2022, March 01, Tuesday 12:00:00 AM","Charter","56.6666666666666667"
"2017, December 01, Friday 12:00:00 AM","Charter","52.0000000000000000"
"2009, December 01, Tuesday 12:00:00 AM","Charter","51.0000000000000000"
"2022, April 01, Friday 12:00:00 AM","Charter","50.7500000000000000"
"2014, January 01, Wednesday 12:00:00 AM","Charter","44.3333333333333333"
