"Report_Period","Flight_Type","average_flight_ops_count"
"2018, July 01, Sunday 12:00:00 AM","Scheduled","14489.000000000000"
"2018, August 01, Wednesday 12:00:00 AM","Scheduled","14414.250000000000"
"2017, July 01, Saturday 12:00:00 AM","Scheduled","14333.750000000000"
"2017, August 01, Tuesday 12:00:00 AM","Scheduled","14265.000000000000"
"2016, July 01, Friday 12:00:00 AM","Scheduled","14252.500000000000"
"2019, July 01, Monday 12:00:00 AM","Scheduled","14223.750000000000"
"2016, August 01, Monday 12:00:00 AM","Scheduled","14208.000000000000"
"2019, August 01, Thursday 12:00:00 AM","Scheduled","14118.750000000000"
"2018, June 01, Friday 12:00:00 AM","Scheduled","13945.750000000000"
"2018, May 01, Tuesday 12:00:00 AM","Scheduled","13805.250000000000"
