"Report_Period","Arrival_Departure","average_flight_ops_count"
"2018, July 01, Sunday 12:00:00 AM","Departure","9667.0000000000000000"
"2018, August 01, Wednesday 12:00:00 AM","Departure","9612.6666666666666667"
"2017, July 01, Saturday 12:00:00 AM","Departure","9556.0000000000000000"
"2017, August 01, Tuesday 12:00:00 AM","Departure","9533.0000000000000000"
"2016, August 01, Monday 12:00:00 AM","Departure","9485.0000000000000000"
"2007, August 01, Wednesday 12:00:00 AM","Departure","9075.3333333333333333"
"2017, May 01, Monday 12:00:00 AM","Departure","8946.0000000000000000"
"2015, July 01, Wednesday 12:00:00 AM","Departure","8934.3333333333333333"
"2018, October 01, Monday 12:00:00 AM","Departure","8907.0000000000000000"
"2018, March 01, Thursday 12:00:00 AM","Departure","8904.0000000000000000"
