"Report_Period","Domestic_International","average_flight_ops_count"
"2016, August 01, Monday 12:00:00 AM","Domestic","11496.2500000000000000"
"2016, July 01, Friday 12:00:00 AM","Domestic","11486.0000000000000000"
"2018, July 01, Sunday 12:00:00 AM","Domestic","11421.5000000000000000"
"2018, August 01, Wednesday 12:00:00 AM","Domestic","11415.0000000000000000"
"2019, July 01, Monday 12:00:00 AM","Domestic","11350.2500000000000000"
"2019, August 01, Thursday 12:00:00 AM","Domestic","11331.0000000000000000"
"2017, August 01, Tuesday 12:00:00 AM","Domestic","11321.0000000000000000"
"2017, July 01, Saturday 12:00:00 AM","Domestic","11318.0000000000000000"
"2007, August 01, Wednesday 12:00:00 AM","Domestic","11163.7500000000000000"
"2016, June 01, Wednesday 12:00:00 AM","Domestic","11157.2500000000000000"
