"Report_Period","Domestic_International","average_flight_ops_count"
"2009, December 01, Tuesday 12:00:00 AM","International","6340.0000000000000000"
"2018, July 01, Sunday 12:00:00 AM","International","6147.0000000000000000"
"2017, December 01, Friday 12:00:00 AM","International","5653.0000000000000000"
"2018, December 01, Saturday 12:00:00 AM","International","5272.0000000000000000"
"2023, August 01, Tuesday 12:00:00 AM","International","5188.5000000000000000"
"2023, September 01, Friday 12:00:00 AM","International","4739.0000000000000000"
"2017, July 01, Saturday 12:00:00 AM","International","4030.0000000000000000"
"2018, August 01, Wednesday 12:00:00 AM","International","4005.6666666666666667"
"2017, August 01, Tuesday 12:00:00 AM","International","3931.6666666666666667"
"2018, January 01, Monday 12:00:00 AM","International","3687.3333333333333333"
