Extract_Date,Report_Period,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T1,Departure,Domestic,160413
"2021, May 03, Monday 03:08:02 PM","2021, March 01, Monday 12:00:00 AM",T5,Departure,Domestic,223866
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T5,Departure,Domestic,266035
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T6,Arrival,International,6195
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T8,Arrival,Domestic,54925
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T5,Arrival,Domestic,365255
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,20394
"2021, May 03, Monday 03:08:02 PM","2021, March 01, Monday 12:00:00 AM",T6,Arrival,Domestic,110785
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T7,Departure,International,15251
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T1,Arrival,Domestic,162770
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T4,Departure,Domestic,242919
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,199
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T4,Arrival,Domestic,207905
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T4,Departure,International,17142
"2021, May 03, Monday 03:08:02 PM","2021, March 01, Monday 12:00:00 AM",T5,Arrival,Domestic,220456
"2021, April 09, Friday 10:34:29 AM","2021, March 01, Monday 12:00:00 AM",T6,Arrival,International,7495
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T2,Departure,Domestic,258987
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,244
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T2,Departure,International,19161
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,19884
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,65705
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T8,Departure,Domestic,47627
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T7,Arrival,Domestic,141457
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T8,Departure,International,2953
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T8,Departure,Domestic,49034
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T5,Arrival,International,49
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T4,Arrival,International,2351
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T8,Departure,International,1255
"2021, May 03, Monday 03:08:02 PM","2021, March 01, Monday 12:00:00 AM",T6,Departure,Domestic,111915
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,393
"2021, May 03, Monday 03:08:02 PM","2021, March 01, Monday 12:00:00 AM",T5,Departure,International,1471
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T4,Arrival,International,3691
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",TBIT,Departure,Domestic,45065
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T8,Arrival,Domestic,51251
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T7,Arrival,International,37998
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T7,Departure,International,17475
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T7,Departure,Domestic,138132
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T2,Departure,Domestic,221008
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T5,Arrival,International,185
"2021, April 09, Friday 10:34:29 AM","2021, March 01, Monday 12:00:00 AM",T1,Arrival,Domestic,141929
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T7,Arrival,Domestic,133224
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T4,Departure,International,11622
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T5,Departure,International,1671
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T7,Departure,Domestic,149482
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T2,Arrival,Domestic,258613
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",TBIT,Departure,Domestic,43593
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T4,Departure,Domestic,209389
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T6,Departure,International,38619
"2021, May 10, Monday 06:01:09 AM","2021, April 01, Thursday 12:00:00 AM",T2,Arrival,Domestic,294362
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T6,Arrival,International,10637
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T7,Arrival,International,47269
"2021, April 09, Friday 10:34:29 AM","2021, March 01, Monday 12:00:00 AM",T1,Departure,Domestic,140186
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T6,Arrival,Domestic,134906
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T4,Departure,Domestic,351074
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",T2,Departure,International,18479
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T6,Departure,Domestic,133773
"2021, April 10, Saturday 06:01:03 AM","2021, March 01, Monday 12:00:00 AM",TBIT,Arrival,Domestic,4399
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T4,Arrival,Domestic,242914
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",Miscellaneous Terminal,Departure,International,178
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",T5,Arrival,Domestic,271545
"2021, May 27, Thursday 03:16:34 PM","2021, April 01, Thursday 12:00:00 AM",TBIT,Arrival,Domestic,3322
"2021, April 09, Friday 10:34:29 AM","2021, March 01, Monday 12:00:00 AM",T6,Departure,International,35582
"2021, June 11, Friday 12:35:47 PM","2020, December 01, Tuesday 12:00:00 AM",TBIT,Departure,International,130832
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Departure,International,306
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T7,Departure,Domestic,269242
"2021, June 11, Friday 12:35:47 PM","2020, November 01, Sunday 12:00:00 AM",TBIT,Arrival,International,114917
"2021, June 11, Friday 12:35:47 PM","2020, July 01, Wednesday 12:00:00 AM",TBIT,Arrival,International,59897
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T6,Arrival,Domestic,158090
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",T8,Arrival,International,56
"2021, June 09, Wednesday 09:21:54 AM","2021, May 01, Saturday 12:00:00 AM",T6,Arrival,Domestic,146268
"2021, June 11, Friday 12:35:47 PM","2021, March 01, Monday 12:00:00 AM",TBIT,Departure,International,92878
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",TBIT,Arrival,Domestic,3855
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T7,Arrival,Domestic,222540
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T7,Departure,Domestic,169616
"2021, June 11, Friday 12:35:47 PM","2020, July 01, Wednesday 12:00:00 AM",TBIT,Departure,International,72626
"2021, June 11, Friday 12:35:47 PM","2021, January 01, Friday 12:00:00 AM",TBIT,Departure,International,90663
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T4,Arrival,Domestic,303360
"2021, June 11, Friday 12:35:47 PM","2020, October 01, Thursday 12:00:00 AM",TBIT,Arrival,International,109224
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T6,Arrival,International,2867
"2021, June 11, Friday 12:35:47 PM","2020, September 01, Tuesday 12:00:00 AM",TBIT,Arrival,International,88979
"2021, June 11, Friday 12:35:47 PM","2020, August 01, Saturday 12:00:00 AM",TBIT,Departure,International,76953
"2021, June 11, Friday 12:35:47 PM","2021, February 01, Monday 12:00:00 AM",TBIT,Arrival,International,83971
"2021, June 09, Wednesday 09:21:54 AM","2021, May 01, Saturday 12:00:00 AM",T1,Departure,Domestic,184294
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T8,Departure,Domestic,58683
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",T5,Departure,Domestic,340719
"2021, June 11, Friday 12:35:47 PM","2020, September 01, Tuesday 12:00:00 AM",TBIT,Departure,International,82096
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T7,Arrival,Domestic,277464
"2021, June 11, Friday 12:35:47 PM","2021, April 01, Thursday 12:00:00 AM",TBIT,Departure,International,110476
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",TBIT,Arrival,International,208353
"2021, June 11, Friday 12:35:47 PM","2020, October 01, Thursday 12:00:00 AM",TBIT,Departure,International,92717
